t;id;lib;o
Societe;102;SIMIE;0
Societe;103;CLIMCHAUD ENERGIES;0
Societe;104;CAPET THERMIE;0
Societe;105;ETS BRIFFAUT;0
Societe;106;LCO;0
Societe;107;FCT 13;0
Societe;108;SAS LEITAO;0
Societe;109;JENERGIE;0
Societe;110;FPCLIM;0
Societe;111;Z- FMC Clim (Ne pas effacer);0
Societe;112;Z- FMC Maintenance (Ne pas effacer);0
Societe;113;Z- FMC Bureau (Ne pas effacer);0
Societe;114;CR climatisation;0
Societe;115;AD CHAUFFAGE SERVICES;0
Societe;116;A2L CLIM;0
Societe;117;EURL BOUCHER;0
Societe;118;CUENOD;0
Societe;119;JHC GAZ;0
Societe;120;Sté NORMAND;0
Societe;121;IN&TECH;0
Societe;122;REVOLUTION'AIR;0
Societe;123;SN BRUNORI;0
Societe;124;DMC;0
Societe;125;KAYRO;0
SousType;1;Climatisation;0
SousType;2;Ventilation;0
SousType;3;Refrigeration;0
SousType;4;Plomberie;0
SousType;5;Chauffage;0
SousType;6;Groupe eau glacée;0
SousType;7;Gaz;0
SousType;8;Roof top;0
SousType;9;Electricité;0
SousType;11;FEVI (Extraction);0
StatusInterv;-1;Materiel à commander;1
StatusInterv;2;Attente Materiel;2
StatusInterv;1;A Planifier;3
StatusInterv;7;Cloturé;4
StatusInterv;8;Annulé avec accord client;5
StatusInterv;20;Annulé en interne;6
StatusInterv;9;Réalisé - A Valider;7
StatusInterv;10;Résolu par téléphone;8
StatusInterv;17;Ne pas Intervenir;9
StatusInterv;19;Attente Fiche;10
StatutFacture;1;A facturer;1
StatutFacture;2;A définir;2
StatutFacture;8;A definir (Par Fabien);3
StatutFacture;3;Non Facturable;4
StatutFacture;7;Non Facturable (SG);4
StatutFacture;4;Facturé;5
StatutFacture;6;Attendre 100% fini;6
StatutFacture;5;Facturé (au  trimestre);7
StatutFacture;9;Stand by;8
StatutFacture;10;En Attente de Commande;9
StatutFacture;11;SIRET Non renseigné;10
TypeAudit;1;1- A definir (Divers);0
TypeAudit;2;1- Boitier BS;0
TypeAudit;3;1- Telecommande;0
TypeAudit;4;1- Telec Centralisée;0
TypeAudit;5;1- Plenum Airzone;0
TypeAudit;6;1- Tel. Airzone;0
TypeAudit;7;1- Acc. Airzone;0
TypeAudit;8;1- Web Serveur Airzone;0
TypeAudit;9;1- Purificateur;0
TypeAudit;10;1- Monosplit;0
TypeAudit;11;1- Multisplit;0
TypeAudit;12;1- Twin;0
TypeAudit;13;1- VRV;0
TypeAudit;14;1- VRV à eau;0
TypeAudit;15;1- Cave à vin;0
TypeAudit;16;1- Window;0
TypeAudit;17;1- Gr. à eau perdue;0
TypeAudit;18;1- Monobloc;0
TypeAudit;19;1- Mural;0
TypeAudit;20;1- Console;0
TypeAudit;21;1- Gainable;0
TypeAudit;22;1- Cassette;0
TypeAudit;23;1- Plafonnier;0
TypeAudit;24;1- Armoire;0
TypeAudit;25;1- Clim mobile;0
TypeAudit;26;1- Bouches/Grilles;0
TypeAudit;27;1- Roof (A définir);0
TypeAudit;28;1- Roof Thermo;0
TypeAudit;29;1- Roof Gaz;0
TypeAudit;30;1- Roof Thermo + Gaz;0
TypeAudit;31;1- Roof F.Seul + Gaz;0
TypeAudit;32;1- Gr. Eau glacée;0
TypeAudit;33;1- V. Convecteur;0
TypeAudit;34;1- Deshu;0
TypeAudit;35;0- NC;0
TypeAudit;36;2- A definir (Divers);0
TypeAudit;37;2- Chaudiere (A definir);0
TypeAudit;38;2- Chaudiere Gaz;0
TypeAudit;39;2- Chaudiere Fioul;0
TypeAudit;40;2- GE PAC Air/Eau;0
TypeAudit;41;2- PAC Piscine;0
TypeAudit;42;2- PAC Boucle d'eau;0
TypeAudit;43;2- UI PAC Air/Eau;0
TypeAudit;44;2- Ballon Thermo;0
TypeAudit;45;2- Thermostat;0
TypeAudit;46;2- RAC (A definir);0
TypeAudit;47;2- RAC electrique;0
TypeAudit;48;2- RAC  Elec Encastré;0
TypeAudit;49;2- RAC  Elec Apparent;0
TypeAudit;50;2- RAC Thermo;0
TypeAudit;51;2- RAC Thermo Encastré;0
TypeAudit;52;2- RAC Thermo Apparent;0
TypeAudit;53;2- RAC sans chauffage;0
TypeAudit;54;2- RAC à eau;0
TypeAudit;55;2- Rad. Elec;0
TypeAudit;56;2- Rad à eau;0
TypeAudit;57;2- Aerotherme (A definir);0
TypeAudit;58;2- Aérotherme Gaz;0
TypeAudit;59;2- Aérotherme Elec;0
TypeAudit;60;2- Aérotherme Eau;0
TypeAudit;61;3- A definir (Divers);0
TypeAudit;62;3- Extracteur Labo;0
TypeAudit;63;3- Ventilation Salon;0
TypeAudit;64;3- Detection presence;0
TypeAudit;65;3- Voyants V/R;0
TypeAudit;66;3- Caisson Filtrant;0
TypeAudit;67;3- Filtre Media;0
TypeAudit;68;3- Filtre charbon;0
TypeAudit;69;3- Media+Charbon;0
TypeAudit;70;3- Bouches;0
TypeAudit;71;4- A definir (Divers);0
TypeAudit;72;4- Specifique/Divers;0
TypeAudit;73;4- Simple Flux;0
TypeAudit;74;4- Double Flux;0
TypeAudit;75;4- Extracteur Cuisine;0
TypeAudit;76;4- Grille (Souff/Extraction);0
TypeAudit;77;4- Hotte;0
TypeAudit;78;4- CTA;0
TypeAudit;79;5- A definir (Divers);0
TypeAudit;80;5- Chauffe Eau;0
TypeAudit;81;5- Styx;0
TypeAudit;82;6- A definir (Divers);0
TypeAudit;83;6- Cartouche;0
TypeAudit;84;6- Caisson desenfumage;0
TypeAudit;85;6- Treuil Méca.;0
TypeAudit;86;6- Treuil Pneu.;0
TypeAudit;87;6- Trappe;0
TypeAudit;88;6- Coffret Relayage;0
TypeAudit;89;7- A definir (Divers);0
TypeAudit;90;7- Destrat Soufflant;0
TypeAudit;91;7- Destrat à pale;0
TypeAudit;92;8- A definir (Divers);0
TypeAudit;93;8- Monobloc (Positive);0
TypeAudit;94;8- Monobloc (Negative);0
TypeAudit;95;8- UE (Positive);0
TypeAudit;96;8- UE (Negative);0
TypeAudit;97;8- Evapo (Positive);0
TypeAudit;98;8- Evapo (Negative);0
TypeAudit;99;8- Vitrine;0
TypeAudit;100;9- A definir (Divers);0
TypeAudit;101;9- Pompe;0
TypeAudit;102;10- A definir (Divers);0
TypeAudit;103;10- Regul;0
TypeFluide;28;A confirmer;0
TypeFluide;29;Plusieurs (Voir Audit);0
TypeFluide;30;R290;3
TypeFluide;33;R513A;631
TypeFluide;21;R32;675
TypeFluide;25;R448a;1397
TypeFluide;26;R449a;1397
TypeFluide;24;R134a;1430
TypeFluide;4;R407C;1774
TypeFluide;6;R22;1810
TypeFluide;5;R410a;2088
TypeFluide;32;R452a;2140
TypeFluide;27;R404a;3922
TypeInterv;14;Appel;0
TypeInterv;0;Toutes;1
TypeInterv;1;Entretien;2
TypeInterv;13;Maint.Chaudiere;2
TypeInterv;2;Depannage;3
TypeInterv;3;Devis SAV;4
TypeInterv;12;Devis SAV (TR);5
TypeInterv;5;En travaux;6
TypeInterv;7;Désenfumage;7
TypeInterv;9;Audit;8
TypeInterv;4;Autre;9
TypeInterv;6;En Création;10
